description,thematic_areas,features_culture_organization,digital_tools,work_methods,outstanding_knowledge_community,soft_skills,key
"Amazon tiene la misión de ser la compañía más orientada al cliente del mundo, en la que las personas puedan encontrar prácticamente cualquier producto que quieran comprar en línea. Conscientes de que nuestros clientes buscan precios bajos, gran variedad y comodidad, nos esforzamos en exceder sus expectativas, y es por este motivo que Amazon continúa creciendo y afianzando su posición entre las plataformas de comercio en línea líderes del mundo. Creado por Jeff Bezos, el sitio web Amazon.com abrió sus puertas virtuales en 1995 para ser un lugar en el que los amantes de la lectura pudieran comprar libros en un entorno único que solo la web podía ofrecer. Bezos estaba convencido de que Internet brindaría a los clientes la comodidad de explorar una selección de millones de obras sin moverse del sitio. Durante sus primeros 30 días de existencia, Amazon tramitó pedidos para clientes repartidos en los 50 estados de Estados Unidos y en 45 países; y todos los pedidos se enviaron desde el garaje de Bezos, ubicado en el área de Seattle. La evolución de Amazon, que ha pasado de sitio web a socio de comercio en línea hasta convertirse en plataforma de desarrollo, ha sido impulsada por el espíritu de innovación inherente a la compañía. Amazon atrae a los talentos más brillantes con el fin de investigar y desarrollar tecnologías que mejoren la vida de compradores y vendedores de todas las partes del mundo.

e-Commerce, Retail, Operations, and Internet",,,"[""Microsoft Office"", ""Adobe Creative Suite"", ""Salesforce"", ""SAP"", ""Oracle"", ""AWS""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""finance"", ""marketing_sales"", ""management_leadership""]","[""critical_thinking"", ""problem_solving"", ""assertive_communication"", ""teamwork"", ""fast_learning""]",technology
"JPMorgan Chase & Co. is an American financial services bank that offers a wide range of products and 
services to corporations, financial institutions, and individual clients. 
The company is headquartered in New York, New York, and has more than 250,000 employees worldwide.",,,"[""Microsoft Office Suite"", ""Bloomberg"", ""Reuters"", ""Salesforce"", ""SAP""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""accounting"", ""technology""]","[""critical_thinking"", ""assertive_communication"", ""teamwork"", ""leadership"", ""flexibility"", ""adaptability"", ""initiative"", ""creativity""]",financial
"Discover Financial Services is an American financial services company that offers credit cards, 
student loans, personal loans, home loans, and other financial products.",,,"[""Adobe Creative Suite"", ""Salesforce"", ""Workday"", ""Slack""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""accounting"", ""economy"", ""marketing_sales"", ""technology""]","[""flexibility"", ""adaptability"", ""time_management"", ""problem_solving"", ""innovation"", ""creativity"", ""leadership""]",financial
"Suramericana S.A. nace en 1944 como una compañía dedicada al aseguramiento de riesgos generales y hoy es una compañía especializada en aseguramiento, tendencias y riesgos, líder en Colombia y con operación en El Salvador, República Dominicana y Panamá. En 2016 consolidó su presencia en América Latina, gracias a la adquisición de operaciones de RSA en México, Chile, Argentina, Brasil, Uruguay y Colombia.",,,,,,,health
"Esta es la compañía que pone Mascara en las pestañas y comida en la mesa. Que lucha contra las arrugas con una mano y contra el cáncer de mama con la otra. Que conoce el valor de lucir unos labios perfectos, pero también de expresarse contra la violencia doméstica y a favor de la independencia económica de la mujer, que apoya a más de 6 millones de representantes alrededor del mundo. Esto es AVON, la compañía que durante 130 años se ha pronunciado a favor de la belleza, la belleza, la innovación, el optimismo y por sobre todo, por amor a la mujer. ",,,,,,,agriculture
"¡Tu Pitch profesional en video visto un millón de veces!
Reinventamos la forma de exhibir e identificar talentos en videos tipo TikTok, agrupados en listas de reproducción filtradas usando Inteligencia Artificial.","[7, 11, 17, 4, 8, 9, 6, 10, 19, 14]","[""challenge_work_team"", ""collaboration"", ""customer_orientation"", ""use_technology"", ""autonomy"", ""work_under_methodologies""]","[""Plataforma Interacpedia"", ""Planner"", ""Teams"", ""Intercom"", ""PHP"", ""Google Analytics"", ""notion"", ""clickup""]","[""in_house"", ""virtual"", ""mixed""]","[""technology"", ""work_methods"", ""marketing_sales"", ""customer_service"", ""processes""]","[""teamwork"", ""communication"", ""ease_adaptation"", ""problem_solving"", ""resilience"", ""decision_making""]",education
"Cada día, dos mil quinientos millones de personas utilizan productos de Unilever para verse bien, sentirse bien y sacarle más provecho a la vida, lo que nos da una oportunidad única para construir un futuro mejor.",,,,,,,food_and_beverages
"Grupo Familia es una compañía productora y comercializadora de productos de consumo masivo, conformada con capital Colombiano y Sueco (SCA). Somos líderes en productos de cuidado e higiene personal los cuales entregamos al consumidor y las instituciones con marcas potentes, Pequeñín, Familia, Nosotras, TENA, Petys, FresKids y Familia Institucional. Nos caracterizamos por ser una compañía innovadora desde las soluciones que ofrecemos entregándolas de manera oportuna a los clientes y consumidores.",,,,,,,paper_and_cardboard
"El Servicio Nacional de Aprendizaje, SENA, está encargado de cumplir la función que corresponde al Estado de invertir en el desarrollo social y técnico de los trabajadores colombianos; ofreciendo y ejecutando la formación profesional integral, para la incorporación y el desarrollo de las personas en actividades productivas que contribuyan al desarrollo social, económico y tecnológico del país.",,,,,,,education
ok,,,,,,,health
"Mesfix es una fintech colombiana de crowdfactoring y mercado en línea de facturas por cobrar en Colombia. Cuentan con una plataforma web que conecta empresas que desean vender sus facturas por cobrar, con una comunidad de personas interesadas en comprarlas y rentabilizar su dinero. La inversión mínima comienza en un 1 millón de pesos, lo que permite que la persona invierta en múltiples facturas de empresas para diversificar su riesgo.",,,,,,,information_technology_and_software
"Agrofuturo es una empresa que ha promovido el desarrollo del sector agropecuario durante 10 años a través del conocimiento, innovación y tecnología
",,,,,,,agriculture
"Intel Corporation is an American technology company that specializes 
in the design and manufacture of semiconductors. It was founded in 1968 
by Robert Noyce and Gordon Moore, and is headquartered in Santa Clara, California. 
Intel is one of the largest and most successful companies in the world, and its 
products are used in a wide range of devices, including computers, smartphones, tablets, and televisions.",,,"[""Cadence"", ""Synopsys"", ""Mentor Graphics"", ""SPICE"", ""Intel Parallel Studio"", ""Git"", ""AWS""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""work_methods"", ""mangement_leadership""]","[""assertive_communication"", ""creativity"", ""problem-solving"", ""teamwork"", ""leadership""]",technology
"La Fundación DINOS es una entidad privada sin ánimo de lucro, surge como una iniciativa que promueve la educación en alimentación saludable a través de una metodología innovadora que incluye experiencias interactivas y creativas, contando con la vital participación de la familia en el acompañamiento de las actividades.",,,,,,,others
"Alibaba Group is a Chinese multinational technology company headquartered in Hangzhou, Zhejiang. It is the 
world largest e-commerce conglomerate, also dealing in financial services, logistics, cloud computing, 
and entertainment.",,,"[""Tmall"", ""Alibaba Cloud"", ""MaxCompute"", ""Ant Financial"", ""Cainiao Network"", ""Dreamweaver""]","[""remote"", ""in_house"", ""mixed""]","[""marketing_sales"", ""customer_service"", ""finance""]","[""cultural_awareness"", ""creativity"", ""assertive_communication"", ""problem_solving"", ""teamwork"", ""focus""]",technology
"Chevron Corporation is a multinational energy corporation headquartered in San Ramon, California. It is one of the largest integrated energy companies globally, engaged in various aspects of the energy sector, including exploration, production, refining, and distribution of oil, natural gas, and related products. With operations spanning across numerous countries, Chevron is known for its significant presence in upstream and downstream activities within the energy industry. The company distinctive V-shaped logo, or ""chevron,"" is widely recognized, symbolizing its commitment to delivering energy solutions while focusing on environmental and social responsibilities",,,"[""Microsoft Office Suite"", ""Adobe Creative Suite"", ""SAP"", ""Oracle"", ""IBM"", ""Salesforce"", ""Google Workspace"", ""Microsoft Teams"", ""Zoom"", ""Slack"", ""Skype""]","[""remote"", ""in_house"", ""mixed""]","[""marketing_sales"", ""processes"", ""finance"", ""technology"", ""accounting""]","[""punctuality"", ""problem_solving"", ""assertive_communication"", ""teamwork"", ""leadership"", ""collaborations"", ""decision_making"", ""persuasion""]",electrical
"Termiexpress realiza servicios de acabados Litográficos y comercializa maquinaria e insumos para litografías, papelerías y centros de copiado.",,,,,,,agriculture
"LEAL es la única herramienta digital de gestión de clientes para establecimientos de comercio en Latinoamérica que, a través de un programa de lealtad, permite maximizar el retorno potencial de cada cliente. Leal ayuda a los comercios afiliados a crecer combinando la inteligencia de negocio (BI) y un CRM que facilita la comunicación con sus clientes.
Para los usuarios inscritos, LEAL provee un app y/o una tarjeta física con la que el usuario puede acumular puntos por sus compras de manera independiente por comercio y redimirlos por premios.
Para los comercios afiliados, LEAL brinda la tecnología necesaria para competir en una era digital. LEAL se integra con el POS (sistema de facturación) de los comercios afiliados para poder combinar los datos transaccionales con poderosos analíticos en línea. Así, brindándoles la oportunidad de conocer e interactuar con sus clientes en tiempo real.",,,,,,,information_technology_and_software
"The Home Depot is the world largest home improvement chain, with more than 2,300 
stores in the United States, Canada and Mexico. The company offers a wide selection 
of products and services for the home, including tools, building materials, garden supplies and appliances.",,,"[""POS"", ""SAP"", ""AWS"", ""SalesForce"", ""Oracle"", ""Tableau""]","[""remote"", ""in_house"", ""mixed""]","[""customer_service"", ""marketing_sales"", ""accounting""]","[""emotional_intelligence"", ""decision_making"", ""critical_thinking""]",commerce
"T-Mobile is an American telecommunications company headquartered 
in Bellevue, Washington. It is the fourth largest mobile phone 
operator in the United States, with a 20% market share. T-Mobile 
offers a variety of services, including wireless, wireless Internet, 
cable television, and online security services.",,,"[""Zoho CRM"", ""PRTG Network Monitor"", ""SAP Concur"", ""Freshdesk"", ""Palo Alto Networks"", ""ADP""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""finance"", ""marketing_sales"", ""customer_service""]","[""leadership"", ""teamwork""]",telecommunications
"El Centro Colombo Americano hace parte de Manizales desde 1959. con el fin de que la juventud pudiera aprender el Inglés, acceder al intercambio cultural y educativo con los Estados Unidos y conectarse con el mundo; además es reconocido por la Embajada de los Estados Unidos como Centro Binacional Cultural y a partir de entonces se constituye en uno de los centros culturales con mayor actividad y proyección a la comunidad en la ciudad. Te invitamos a navegar nuestra Web y a acceder a información actualizada sobre cada una de nuestras actividades culturales, programas para el aprendizaje del Inglés y asesorías especializadas. ",,,,,,,health
"Somos una compañía multilatina regional, líder del retail en Suramérica. Con más de 2.600 almacenes tiene presencia en Colombia a través de Grupo Éxito; en Brasil con Grupo Pão de Açúcar; en Uruguay con Grupo Disco y Grupo Devoto y en Argentina con Libertad. Su sólido modelo omnicanal y su estrategia multiformato y multimarca lo convierten en el líder de los hipermercados con las marcas Éxito, Extra, Geant y Libertad; en supermercados premium con Carulla, Pão de Açúcar, Disco y Devoto; en proximidad con las marcas Carulla y Éxito express, Devoto y Libertad express y con Minuto Pão de Açúcar; en descuento, con Surtimax y Super Inter y en Cash and Carry con Assaí.

Grupo Éxito es el líder del comercio electrónico en Colombia con www.exito.com, www.carulla.com, cdiscount.com.co y segundo en Brasil con Cnova.com. En 2015 los Ingresos Operacionales consolidados totalizaron $33.4 billones de pesos provenientes de las ventas de retail y de su portafolio de negocios complementarios: tarjeta de crédito, viajes, seguros y el negocio inmobiliario con centros comerciales en Colombia, Brasil y Argentina.

Somos una compañía con claras ventajas competitivas derivadas de su fortaleza en el comercio físico y electrónico, en los negocios complementarios, en el valor de sus marcas y muy especialmente, en la calidad de su talento humano.",,,,,,,others
Iniciativa por los Jóvenes - Alianza del Pacífico,[],[],[],[],[],[],food_and_beverages
Clínica Odontológica Especializada.,,,,,,,health
"Penagos Hermanos es una compañía metalmecánica que busca incrementar la productividad y rentabilidad del empresario del agro, a través de soluciones integrales que se basan en la innovación constante, el trabajo en equipo y la pasión por la transformación del campo.",,,,,,,others
"Somos un grupo de empresarios ""líderes"", que gracias a la experiencia obtenida durante más de 20 años hemos logrado consolidarnos como una organización con proyección empresarial, solidez y capacidad financiera.

Contamos con un amplio portafolio de productos y servicios que se comercializan en línea y en tiempo real para satisfacer las necesidades de todos nuestros clientes.

Nuestra red tecnológica brinda una herramienta ágil, eficaz y funcional aún en las zonas rurales más complicadas y de difícil acceso de la topografía departamental lo que nos permite prestar el mejor de los servicios en todo el Departamento de Caldas.",,,,,,,health
"Visa is a global payments technology company that connects people, businesses, banks and governments around 
the world to make payments easier, safer and more efficient. The company operates a global payments network 
that processes more than 100 billion transactions annually, and offers a wide range of payment products and 
services, including credit, debit and prepaid cards, payment processing services and banking solutions. digital.",,,"[""Oracle"", ""IMB"", ""AWS"", ""SalesForce""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""finance"", ""accounting"", ""marketing_sales""]","[""problem_solving"", ""decision_making"", ""teamwork"", ""collaboration"", ""leadership"", ""time_management""]",technology
"Bank of America is a financial institution that offers a wide range of products and services to individuals, 
businesses, and governments. It is the second largest bank in the United States by assets.",,,"[""Microsoft Office"", ""Salesforce"", ""Oracle""]","[""remote"", ""in_house"", ""mixed""]","[""finance"", ""economics"", ""accounting"", ""marketing_sales""]","[""teamwork"", ""leadership"", ""adaptability""]",financial
"Comfenalco Antioquia aporta a la construcción de una nueva Colombia, mejorando las condiciones de vida de miles de familias y brindando programas integrales de seguridad social. 

Para lograr sus objetivos y subsidiar parte de sus programas, además de la generación de recursos provenientes de la venta de los servicios y de los aportes empresariales, Comfenalco Antioquia establece convenios con entidades del orden regional, nacional e internacional, y de carácter público o privado, que le permiten impulsar programas en beneficio de las poblaciones más necesitadas, para que la salud, la educación, la recreación, la vivienda, la cultura y el bienestar económico sean privilegios de todos los antioqueños.",,,,,,,social_security
"Somos una empresa dedicada al diseño, producción y comercialización de artículos plásticos para la industria cosmética, aseo personal, farmacéutica y alimenticia; cumpliendo con las especificaciones técnicas, legales y contractuales, soportados en innovación, mejoramiento continuo, procesos eficientes y personal competente buscando siempre la satisfacción de nuestros clientes.",,,,,,,health
"ExxonMobil is a multinational energy corporation headquartered in the United States. It is one of the largest publicly traded oil and gas companies in the world. With a history dating back over a century, ExxonMobil engages in various aspects of the energy industry, including exploration, production, refining, distribution, and marketing of petroleum products and petrochemicals. The company is renowned for its significant presence in the global energy sector and its commitment to advancing technological innovation to address energy challenges. ExxonMobil operations span across numerous countries and play a pivotal role in shaping the global energy landscape",,,"[""Microsoft Office"", ""Adobe Creative Suite"", ""SAP"", ""Oracle"", ""Salesforce""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""finance"", ""marketing_sales""]","[""assertive_communication"", ""problem_solving"", ""teamwork"", ""critical_thinking"", ""leadership""]",electrical
ok,,,,,,,health
"Meta is a concept embodying a desired outcome or objective. It serves as a guiding point, motivating individuals or groups towards achieving specific aspirations. Metas provide clarity and purpose, fostering focused efforts and strategic planning to overcome challenges. These targets can be short-term or long-term, and they often require dedication, perseverance, and adaptability. The pursuit of metas encourages growth, learning, and self-improvement, transforming aspirations into tangible accomplishments.",,,"[""Microsoft Office"", ""Google Suite"", ""Adobe Creative Suite"", ""Slack"", ""Jira"", ""Confluence"", ""Zoom"", ""Teams"", ""Trello"", ""Asana""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""finance"", ""marketing_sales"", ""accounting""]","[""critical_thinking"", ""problem_solving"", ""creativity"", ""assertive_communication"", ""collaboration"", ""teamwork"", ""leadership""]",technology
Universidad EAN,,,,,,,health
"Somos una empresa de servicios, dedicada al desarrollo de proyectos de edificación e Infraestructura, para transformar el entorno físico generando progreso, en beneficio equilibrado de la comunidad, los accionistas, los clientes, empleados y proveedores.",,,,,,,construction
Descripcion corta de la empresa,,,,,,,health
"En NUTREO nos levantamos todos los días porque creemos que siempre hay una mejor forma de hacer las cosas. Porque tratamos de ser mejores cada día. Porque somos una conversación entre amigos. Porque a través de pequeñas cosas contribuimos al logro de grandes resultados. Porque trabajamos para mejorar el futuro de la nutrición. Trabajamos para nutrir bienestar. 

Fortificamos alimentos que hacen parte de programas de inversión social del sector público o de organizaciones no gubernamentales orientadas a construir una nación que se compromete con ciudadanos bien nutridos, lo que generará niños más sanos e inteligentes, y por consiguiente adultos más fuertes y productivos, en definitiva personas con una mayor aptitud y actitud frente a la vida.  

Desarrollamos formulaciones que elevan el valor nutricional de marcas nacionales e internacionales de alimentos, quienes buscan fortalecerse y dejar una huella positiva en la nutrición de sus consumidores. 

Diseñamos alimentos que cumplen funciones específicas para deportistas, empresarios, trabajadores, mujeres y adultos mayores. ",,,,,,,food_and_beverages
Proplas,,,,,,,health
Entidad sin ánimo de lucro que trabaja por lograr la primera generación de niños sin desnutrición crónica en Colombia para el año 2030. ,,,,,,,health
"Una academia de excelencia soportada en procesos administrativos eficientes para lograr la sostenibilidad, la integración, el liderazgo y el desarrollo institucional.

Por todo lo anterior el Plan de Desarrollo Institucional 2012–2016 busca la integración de la comunidad universitaria con el mundo, el liderazgo regional a través de una academia de excelencia y el desarrollo, y el mejoramiento de la calidad de vida de su comunidad y la sociedad en general.",,,,,,,education
Descripcion corta de la empresa,,,,,,,health
"Compañía Colombiana con mas de 90 años en el mercado.
Estamos posicionados a nivel nacional.
Contamos con un equipo humano conformado por más de 1000 colaboradores.
Pertenecemos al sector de consumo masivo, participando en categorías importantes de dicho sector.",,,,,,,agriculture
"Somos una compañía experta en soluciones de alimentación con presencia en Colombia, Chile y México y durante nuestros primeros años nos especializamos en aceites y grasas vegetales. Nuestro compromiso es llevar bienestar a clientes, consumidores, empleados y accionistas, y a través de la innovación gestionamos nuestros procesos para lograrlo. En Team sabemos que antes de tener proveedores, clientes y consumidores está la búsqueda constante de personas que, como nosotros, apuesten por el bienestar del ser humano. Por eso trabajamos para poner en las industrias, panaderías, restaurantes y hogares de los países a donde llegamos, soluciones de calidad, confiables y con un alto componente de nutrición responsable. En Team alimentamos un mejor mañana.",[],[],"[""Intranet"", ""página web"", ""redes sociales"", ""herramientas de PMO""]","[""in_house"", ""virtual"", ""mixed""]",[],[],agriculture
Empresa dedicada a la producción y distribución de artículos de cuero. Fundada en 1986 ,,,,,,,textile_and_clothing
"Trabajamos por los intereses del comercio y los servicios del departamento dentro de un criterio de bienestar y progreso para el país. Orientamos, promovemos, creamos valor a las empresas.",,,,,,,associations_and_cooperatives
"Hoy en día contamos con una plataforma de tecnologías cuya sinergia nos permite llegar a 18 sectores industriales a través de colorantes, preparaciones pigmentarias, auxiliares químicos, aditivos para alimentos y resinas. Nuestros productos son fabricados y comercializados utilizando una infraestructura compuesta por cinco plantas de producción, seis laboratorios y cinco bodegas de almacenamiento para apoyar operacionalmente la satisfacción de requerimientos y exigencias de nuestros clientes.",,,,,,,chemical
"Suproductor es una Agencia BTL y Productora de Eventos con un modelo innovador que da como valor agregado mas calidad, menor costo, con procesos mas rápidos, prácticos y amigables, el cual se rige por ser un modelo transparente para todos.",,,,,,,commerce
1DOC3. Plataforma de e-health diseñada para ofrecer respuestas a consultas de salud.,[],[],[],[],[],[],health
"A problem isn't truly solved until it's solved for all. Googlers build products that help create opportunities for everyone, whether down the street or across the globe. Bring your insight, imagination and a healthy disregard for the impossible. Bring everything that makes you unique. Together, we can build for everyone. Check out our career opportunities at careers.google.com. ",,,"[""Google workspace"", ""python"", ""c"", ""Google keep"", ""Google Sites""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""education"", ""management_leadership""]","[""critical_thinking"", ""problem_solving"", ""creativity"", ""assertive_communication"", ""teamwork"", ""leadership"", ""emotional_intelligence"", ""flexibility""]",technology
Nos dedicamos a producir los más ricos productos para deleitar con calidad y confianza a toda la familia en Colombia y América Latina.,,,,,,,food_and_beverages
"We’re a cloud technology company that provides organizations around the world with computing infrastructure and software to help them innovate, unlock efficiencies and become more effective. We also created the world’s first – and only – autonomous database to help organize and secure our customers’ data. Oracle Cloud Infrastructure offers higher performance, security, and cost savings. It is designed so businesses can move workloads easily from on-premises systems to the cloud, and between cloud and on-premises and other clouds. 

Oracle es la primera compañía de software que desarrolla e implementa software para empresas 100 por ciento activado por Internet a través de toda su línea de productos: base de datos, aplicaciones comerciales y herramientas de desarrollo de aplicaciones y soporte de decisiones.",,,"[""Oracle Cloud"", ""Microsoft Azure"", ""Amazon Web Services"", ""Google Cloud Platform"", ""Tour"", ""Confluence"", ""Slack"", ""Zoom"", ""Google Workspace""]","[""remote"", ""in_house"", ""mixed""]","[""technology"", ""work_methods"", ""management_leadership""]","[""assertive_communication"", ""problem_solving"", ""teamwork"", ""critical_thinking"", ""creativity"", ""adaptability""]",technology
Descripcion corta de la empresa,,,,,,,health
"Industrias Haceb S.A es la empresa líder de electrodomésticos en Colombia, con más de siete décadas en el mercado, ofrece bienestar a las familias latinoamericanas, transformando los productos en soluciones innovadoras, con alta tecnología, diseño y cuidado del ambiente. 
Somos personas felices y líderes apasionados, que buscamos enamorar a nuestros clientes, comprometernos con nuestros grupos de interés y ser una de las marcas preferidas en la región andina. ",,,,,,,health
"Creemos firmemente en nuestra misión, en servirles a nuestros clientes brindándoles siempre la más alta calidad.",,,,,,,health
"AbbVie is a global biopharmaceutical company that discovers, develops and markets innovative medicines 
to treat some of the most challenging diseases in human health. The company has a strong commitment to 
research and development, and has a strong product portfolio in the areas of immunology, oncology, 
neuroscience and virology.",,,"[""Microsoft Office"", ""Google Workspace"", ""Salesforce"", ""SAP"", ""Oracle""]","[""remote"", ""in_house"", ""mixed""]","[""education"", ""customer_service""]","[""problem_solving"", ""critical_thinking"", ""teamwork"", ""leadership""]",health
"Mastercard is a multinational payment technology company headquartered in Purchase, New York. 
The company operates a payment processing network that connects financial institutions, 
merchants and consumers in more than 210 countries and territories. Mastercard also offers 
a variety of payment-related products and services, including credit, debit and prepaid cards, 
as well as business payment processing solutions.",,,"[""Adobe Creative Cloud"", ""SAP"", ""AWS"", ""SalesForce"", ""Oracle""]","[""remote"", ""in_house"", ""mixed""]","[""accounting"", ""finance""]","[""decision_making"", ""assertive_communication"", ""problem_solving"", ""teamwork"", ""leadership""]",financial
"Organización social focalizada, sostenible, competitiva, flexible y dinámica, dedicada a la provisión de bienes y servicios para el bienestar de la familia y la sociedad. Cuenta con 5 grandes servicios: Educación, Tiempo Libre, Salud, Servicios Financieros y Vivienda.",[],"[""be_open_change"", ""creative_collaborative_environments"", ""respect_beliefs_and_tastes"", ""allow_make_career_plan"", ""promote_integrated_leaders""]","[""Office 365"", ""Adobe"", ""Skype empresarial"", ""aplicativos para la gestión de proyectos.""]","[""in_house"", ""mixed""]",[],"[""teamwork"", ""leadership"", ""communication"", ""flexibility"", ""sociable""]",services
"Metlife compañía enfocada en acompañar al cliente en sus diferentes etapas de vida, entregando gran valor para las personas que servimos. 
Metlife construyendo la vida juntos!",,"[""discipline"", ""customer_orientation"", ""allow_make_career_plan""]","[""Teams""]","[""remote"", ""in_house"", ""mixed""]","[""marketing_sales"", ""finance"", ""customer_service""]","[""cultural_awareness"", ""assertive_communication"", ""focus""]",health
Alico es una compañia dedicada a la fabricacion de empaques especializados.   Contamos con un amplio numero de productos para brindar solucion a sus necesidades.   Lo invitamos a verlos en nuestra pagina web.,,,,,,,plastics
