"name","thematic_area_id","thematic_area","interest_area_id","description","requirements","work_methods","optional_requirements"
"Ingeniero de desarrollo TS Col.",13,"product",NULL,"Nuestro equipo de Desarrollo de la unidad de negocio Team Solutions Colombia, está en búsqueda de Ingeniero/a Químico para desempeñar el rol de Ingeniero de desarrollo . Quien se encargara de ejecutar los proyectos de desarrollo de productos en el negocio base, que permitan dar un salto en el negocio , solucionando las necesidades de los consumidores.¿Cuál es su propósito principal?Esta persona diseñara, desarrollara y pondrá en marcha productos en diversas categorías, garantizando siempre la profundidad técnica, el cumplimiento legal, regulatorio y nutricional, el margen de los productos y la escalabilidad en Planta. A su vez liderara la ejecución de los proyectos, conectando los equipos interdisciplinarios, garantizando siempre, la calidad, la oportunidad y el trabajo en equipo.RequisitosSer profesional graduado en Ingeniería Química o alimentos.Maestría en Ciencia de Alimentos, Ingeniería de Alimentos, Ingeniería Química o campo relacionados. 3 años de experiencia en Investigación y desarrollo de alimentos. Deseable experiencia en las categorías donde el lípido juega un rol importante.Ingles IntermedioManejo de Excel avanzadoAnímate a participar y se parte de una de las empresas mas innovadoras del país.Alimentamos un mejor mañana.         Mostrar más           Mostrar menos. Oferta publicada por Alianza Team® en Bogotá","[""trabajo"", ""profesional"", ""desarrollo"", ""."", ""equipo"", ""experiencia"", ""persona"", ""industrial"", ""proyectos"", ""responsabilidad""]",NULL,NULL
"Director IT - Siberia",6,"tech",NULL,"¡¡¡En EGA KAT estamos buscando el mejor talento humano y ese eres tú!!!Somos una gran organización empresarial del sector logístico ubicada en SIBERIA y requerimos DIRECTOR IT con mínimo 2 años de experiencia laborando en empresas de logística y transporte.Profesional en ingenieria de sistemas.Definir, gestionar y desarrollar las estrategias y recursos de tecnología en las distintas áreas de la empresa (Arquitectura de Sistemas de información externa e interna, tecnologías basadas en la nube, investigación de nuevas tecnologías, etc.), así como el seguimiento del desarrollo de los proyectos en marcha de la compañía con el control de tiempos y procesos, con el fin de conseguir los objetivos de la compañía, orientados a la automatización de procesos logísticos.Salario $3.000.000 + prestaciones de ley.Horario: Lunes a Sabado horario de oficina HIBRIDOSi te encuentras interesado y cumples con el perfil por favor aplica a la oferta.         Mostrar más           Mostrar menos. Oferta publicada por Ega-Kat en Siberia","[""recursos"", ""desarrollo"", ""talento humano"", ""empresa"", ""proyectos"", ""desarrollar"", ""ingenieria"", ""estrategias"", ""procesos"", ""control""]",NULL,NULL
"Cajero y Asesor de Servicio al cliente - sector financiero Urgente",17,"consumer",NULL,"Importante entidad del sector financiero solicita estudiantes desde 7vo semestre en carreras administrativas o afines, con un año de experiencia en entidades financieras realizando manejo de caja y grandes sumas de dinero, ofrecer servicios y atención al cliente.Salario: $1.471.000 + Variable por cumplimiento $1.000.000 + Prestaciones de ley + Prestaciones de leyHorario: Lunes a viernes, sábado medio díaContrato: Obra o labor         Mostrar más           Mostrar menos. Oferta publicada por Messina Market & Catering en Barranquilla","[""manejo"", ""experiencia"", ""servicios"", ""financiero"", ""caja""]",NULL,NULL
"ANALISTA DE EXPERIENCIA DEL PACIENTE - 2169991",6,"tech",NULL,"Requerimientos del cargoRevisar todo el insumo de las PQRSF (La fuente, el atributo de calidad afectado, el riesgo, la priorización y el/los servicio(s) o el proceso(s) involucrados) y los resultados de NPS (Por clínica, por servicicio y por pregunta) para su respectivo análisis y demás herramientas de medición de la voz del paciente, para generar estadíticas y tendencia de los datos.Realizar seguimiento semanal de los resultados para generar al final de mes los indicadores mensuales y acumulados del año que permitiran generar los planes de acción respectivos.Realizar seguimiento diario a los pacientes detractores identificados en el NPS para obtener mayor insumo de análisis y generar evaluación cuantitativa y cualitativa de la operación.Generar los indicadores e informes requeridos derivados de la información obtenida de la voz del Cliente externo e internoSer embajador del programa de Cultura de Servicio Memorables con los colaboradores, compañeros, lideres, pacientes y sus familias, apoyando de manera permanente el resultado del NPS, disminuyendo las quejas y activando las felicitaciones.Calificaciones requeridasTecnólogos o estudiantes de último semestre (Administración en Salud, Administración de Empresa, Ingenieria o afines), Experiencia en empresas del sector salud y en manejo de analitica de datos de mínimo 2 añosCarreras en Clínica del Country y Clínica La Colina, parte de la familia de negocios de UnitedHealth Group. Clínica del Country, fundada en 1962, y Clínica La Colina, fundada en 2013, son el hogar de médicos reconocidos en toda Colombia que están motivados para mejorar el desempeño del sistema de salud y mejorar el bienestar de las personas a las que tenemos el privilegio de servir. Damos nuestro mejor esfuerzo para cuidar la vida de nuestros pacientes y sus familias al brindar servicios de salud de alta calidad a través de tecnología avanzada, instalaciones modernas y experiencias personalizadas. Nuestro entorno de trabajo está lleno de apoyo que te dará las herramientas que necesitas para hacer que la atención médica sea más receptiva y que tu carrera crezca con una gran cantidad de oportunidades para tener un impacto. Descubre como tus talentos pueden ayudar a transformar el sistema de salud y resultar en el mejor trabajo de tu vida. SM      Mostrar más           Mostrar menos. Oferta publicada por Clínica del Country en Bogotá","[""manejo"", ""sistema"", ""servicios"", ""indicadores"", ""negocios"", ""planes"", ""datos"", ""calidad"", ""trabajo"", ""salud""]",NULL,NULL
"¿Cómo podríamos posicionar un nuevo producto en el mercado y el target al cual queremos llegar?",7,"communications",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos aplicar el concepto de E-Commerce (comercio por Internet) en la organización para vender nuestros productos/servicios respondiendo a las necesidades de los usuarios?",14,"channels",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Analista Mejora Continua - Girardota",13,"product",NULL,"Cueros Vélez S.A.S, empresa líder en el mercado de manufactura en el sector del cuero requiere para su equipo de trabajo Analista Logística (Mejora Continua) que cumpla como misión principal proponer e implementar planes de mejoramiento / iniciativas que contribuyan a la optimización y rentabilidad de los procesos.ResponsabilidadesAsegurar la generación de propuestas de mejora e implementación de nuevos métodos para optimizar cada una de las operaciones analizadas.Investigar, proponer, implementar, acompañar y estabilizar las mejores prácticas para la estandarización de Procesos.Proponer tiempos de las actividades del proceso, subproceso y/ u operación requeridos con el fin de dar cumplimiento a las metas u objetivos.Realizar informes de seguimiento de cumplimiento de los planes de trabajo del proceso.Proponer e implementar herramientas para la mejora de procesos (LEAN) según se ajuste a las necesidades de la compañía (herramientas: 5´S, estandarización, flujos, observación de puesto de trabajo, valúe stream mapping).Proponer y consolidar las iniciativas o propuestas de mejoramiento del proceso, presentándolas al comité de proyectos, implementándolas en caso de requerirse.Dar soporte a los niveles 1 y 2 de las incidencias del WSM y WCSDiseñar y sostener plan de entrenamiento de los procesos y sistemas de información al personal del CEDI con las certificaciones definidas.EntregablesPropuestas de mejora implementadasAhorros de los procesosRetosParticipación directa en el plan de expansión y crecimiento de la compañía en otros países.Participación en proyectos de la compañíaExperiencia RequeridaExperiencia en el diseño y la ejecución de proyectosConocimientos en lean o seis sigma y 5s1 año en mejoramiento continuo de procesosFormación Académica RequeridaProfesional en Ingeniero industrial, producción, procesos o afinesHorariosLunes - Sábado( 7 am a 5:35 pm)         Mostrar más           Mostrar menos. Oferta publicada por Cueros Vélez en Girardota","[""equipo"", ""mejora"", ""trabajo"", ""herramientas"", ""operaciones"", ""cadena de suministro"", ""cadena"", ""lean"", ""proyectos"", ""experiencia""]",NULL,NULL
"Auxiliar Contable",6,"tech",NULL,"Empresa Del Sector Tecnología Requiere Para Su Equipo De Trabajo Auxiliar Contable, Quien Se Encargara De Desempeñar Las Siguientes Funciones Recepción y causación de documentación contable. Revisión y conciliación de cuentas donde se refleje la realidad de la empresa. Apoyo en la elaboración de documentación tributaria. Apoyo para la consolidación de información financiera e informes. Apoyo y supervisión en la elaboración de inventarios y activos fijos. Creación de clientes y proveedores con las clasificaciones tributarias correspondientes. Diligenciamiento de información financiera y tributaria para trámites con terceros. Programación de pago a proveedores, nómina y viáticos en los sistemas transaccionales. Seguimiento de cartera.Persona orientada al cumplimiento de objetivos, responsable, pro activa, respetuosa.¡Anímate a formar parte de un equipo humano!         Mostrar más           Mostrar menos. Oferta publicada por DIVIX S.A.S. en No especifica","[""financiera"", ""experiencia"", ""equipo"", ""inventarios"", ""sistemas""]",NULL,NULL
"¿Cómo podríamos iniciar mercados internacionales que respondan positivamente con los servicios/productos actuales?",14,"channels",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Pitch en vivo: Roles del futuro",4,"strategy",NULL,"¿Cómo prodías crear un nuevo rol desde tus áreas de conocimiento e interés para generar valor a una organización?","[""Procesos"", ""Proyectos"", ""Tendencias""]","[""to_be_agreed"", ""in_house"", ""virtual"", ""mixed""]","[]"
"Jefe de tienda/ Supermercados/ Puerto Tejada Cauca",13,"product",NULL,"Reconocida empresa del sector consumo masivo se encuentra en búsqueda de un Administrador de Punto de venta SupermercadoExperiencia: Certificable mínimo 2 años, coordinando, liderando puntos de venta supermercados, mini mercados, tiendas y afines.Formación Académica, Tecnólogo en carreras administrativas, comerciales o afines/ o estudiante virtual.Funciones: Liderar y gestionar los procesos de mejoramiento continuo en el punto de venta, atención a proveedores y clientes, manejo de personal, cumplimiento de metas, gestión contable, impulsar el punto de venta.Salario: Básico $2.000.000 + prestaciones + Bonificaciones por cumplimiento de metasHorarios:Manejo y confianzaContrato: IndefinidoSitio de trabajo PUERTO TEJADA CAUCA         Mostrar más           Mostrar menos. Oferta publicada por Eficacia en Puerto Tejada","[""manejo"", ""servicios"", ""mejoramiento continuo"", ""trabajo"", ""empresa"", ""procesos""]",NULL,NULL
"Director Control de Cuentas- Medellin",16,"finance",NULL,"En INTERRAPIDISIMO ¡seguimos creciendo! es tu oportunidad de pertenecer a una de las empresas con mayor crecimiento y cobertura a Nivel Nacional¡Ven a ser parte de nuestro equipo de trabajo!Si eres profesional en áreas como : Economía, Contabilidad, Derecho, Finanzas, Ingeniería Industrial o áreas afines, cuentas con 3 años de experiencia Liderando equipos de cobranza, en facturación, tesorería, cartera, cuentas de cobro entre otras funciones, atención al cliente interno y externo, manejo contable y de cajas.¿Qué buscamos?Manejo en la gestión con relación a los ingresos y egresos de la compañía de acuerdo a la información registrada de manera física y digital, con el fin de identificar e informar de forma clara y completa la información financiera suministrada.¿Qué te ofrecemos?Contrato a termino indefinidoSalario: $ 3.161.358 + Prestaciones de LeyHorario de Lunes a Viernes de 8:00am a 6:00pm, dos sábados al mes.Lugar de Trabajo: MedellínVen a ser parte de esta gran Organización.         Mostrar más           Mostrar menos. Oferta publicada por Inter Rapidísimo en Medellín","[""profesional"", ""financiera"", ""experiencia"", ""equipo"", ""manejo""]",NULL,NULL
"¿Cómo podríamos crear una estrategia para que el consumidor compre los productos complementarios al principal (venta cruzada)?",19,"sales",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos mejorar el entorno laboral en nuestra planta para disminuir los riesgos/accidentes de nuestros trabajadores?",2,"production",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos medir el impacto generado por las capacitaciones en el nuevo personal de la organización?",9,"talent",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos medir el impacto generado por las capacitaciones en el nuevo personal de la organización?",9,"talent",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Agente de encuestas telefónicas.",7,"communications",NULL,"¡Únete a nuestro equipo como Agente de Encuestas Telefónicas!Si eres bachiller y tienes experiencia en call center y estudios de mercadeo, ¡esto es para ti! Trabaja de lunes a sábado y recibe un salario mensual competitivo de $1160000 COP. Aprovecha esta oportunidad de crecimiento laboral en una empresa líder en el mercado.Como agente de encuestas telefónicas, serás responsable de realizar encuestas a los clientes y proporcionar información valiosa a nuestro equipo de marketing y ventas. Si tienes excelentes habilidades de comunicación, eres organizado, eficiente y te gusta trabajar en equipo, ¡queremos que apliques ahora!En nuestro equipo, tendrás la oportunidad de aprender y crecer profesionalmente, mientras contribuyes al crecimiento de la empresa. No pierdas la oportunidad de unirte a una empresa en constante crecimiento y éxito en el mercado.¡Aplica ahora y gana experiencia como agente de encuestas telefónicas!         Mostrar más           Mostrar menos. Oferta publicada por Alentti en No especifica","[""experiencia"", ""habilidades"", ""marketing"", ""aprender"", ""equipo"", ""empresa""]",NULL,NULL
"Coordinador Comercial / Disponibilidad inmediata",19,"sales",NULL,"Importante empresa del sector de alimentos requiere para su equipo de trabajo Coordinador comercialRequisitosProfesional en administración o careras afinesMinimo 1 año de experiencia en el cargoSalario : $2.751.000Horario: Lunes a sabado oficina         Mostrar más           Mostrar menos. Oferta publicada por Multiempleos S.A. en Bogotá","[""trabajo"", ""empresa"", ""recursos"", ""alimentos"", ""experiencia"", ""recursos humanos"", ""equipo""]",NULL,NULL
"Work From Home Brand Development Manager / Ref. 0886E",11,"market",NULL,"Who we areBairesDev is proud to be the fastest-growing company in America. With people on five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.Brand Development Manager at BairesDevWe are looking for an experienced Brand Development Manager to join our Marketing team and develop a Brand strategy. This professional will be responsible for executing highly effective communications plans through deeply understanding the consumer and our target market, achieving profit, and maximizing the brand’s long-term potential.What You Will Do Identify how our brand is currently positioned in the market, design a research-based brand strategy, lead cross-functional project teams focused on the execution of branding programs, initiatives, and/or strategies, measuring and report on the success of brand marketing campaigns. Develop and maintain the brand messaging and brand visual elements, developing and executing marketing campaigns aimed at communicating our brand message, increasing brand awareness and consideration as well as building market position, ensuring consistency with the tone of voice and brand messaging. Analyze customer knowledge, trends, market analysis, and best marketing practices to create successful brand strategies, anticipating consumer trends to keep the brand up to date. Own the development and implementation of brand marketing strategies, developing, executing, and tracking collateral materials for internal and external purposes. Establish positioning, identify the objective audience and develop marketing plans with specific objectives in different channels and segments. Communicate our brand personality internally and align the company around foundational concepts, acting as a Steward to the company’s brand strategy and positioning platform, researching and determining product weaknesses and areas to overcome with developing brand identity.Here’s What We Are Looking For Proven work experience in Brand Development, with a positive track record in designing and implementing successful digital marketing campaigns. Experience in managing a high-performance team, with excellent analytical and project management skills. Experience in B2B service marketing. Solid knowledge of online marketing tools and best practices. Creativity, strategic thinking, and trend savviness, with a deep understanding of how all current digital marketing channels work. Highly motivated, flexible, and service-oriented, with strong prioritization, time management, and organizational skills. Versatile, goal-oriented, driven, proactive, and experienced in networking and influencing decision-makers. Advanced English level.How we do make your work (and your life) easier: 100% remote work. Hardware setup for you to work from home. Flexible hours - make your schedule. Paid parental leave, vacation & holidays. Diverse and multicultural work environment. An innovative environment with the structure and resources of a leading multinational. Excellent compensation — well above the market average. Here you can grow at the speed of your learning curve.Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.Every BairesDev team member brings something unique to our company.We want to hear your story. Apply now!         Mostrar más           Mostrar menos. Oferta publicada por ABBATANGELO LIONEL en Medellín","[""software"", ""visual"", ""branding"", ""teams"", ""marketing"", ""design"", ""work"", ""networking"", ""digital"", ""project""]",NULL,NULL
"¿Cómo podríamos reutilizar uno de los materiales usados en la organización para disminuir el impacto ambiental?",17,"consumer",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos conectar a nuestros empleados con la cultura de la organización por medio de una estrategia de gamificación divertida?",9,"talent",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Corazones de papel
¿Cual tan importante es la alimentación saludable para los niños? Enfocan el producto pero con ellos llenaremos más corazones sanos",13,"product",NULL,"Es que crean un producto enfocado pensando en un sierto tipos de consumidores activos de sierto producto o servicio donde 
Podemos llegar más allá como empresa que se objetivisa en aspectos importantes",NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos obtener la información estratégica de nuestros usuarios para apoyar la toma de decisiones?",6,"tech",NULL,"No se tiene en cuenta la información de los usuarios para la toma de decisiones",NULL,"[""to_be_agreed""]",NULL
"¿Cómo podríamos usar la inteligencia artificial para mejorar procesos al interior de nuestra organización?",6,"tech",NULL,NULL,NULL,"[""to_be_agreed""]",NULL
"Auxiliar Ventas Caja",17,"consumer",NULL,"¡Te estamos buscando!Importante empresa del sector retail está en búsqueda del mejor talento humano y requiere vincular a su equipo de trabajo un cajero en Montelibano, con experiencia mínima de 6 meses en servicio al cliente, cajas registradoras y conocimiento en registrar, verificar y controlar las operaciones de la terminal de pago a su cargo, siguiendo normas, procedimientos y protocolos de servicio, con el fin de garantizar el control eficiente de los valores recaudados por concepto de ventas y la prestación de un óptimo servicio a los clientes, apuntando al logro de los objetivos de ventas proyectados por la Gerencia del punto de venta…         Mostrar más           Mostrar menos. Oferta publicada por Supertiendas Olímpica en Aguachica","[""talento humano"", ""terminal"", ""servicio"", ""empresa"", ""operaciones"", ""experiencia"", ""talento"", ""empresarial"", ""conocimiento"", ""control""]",NULL,NULL
"Auxiliar de Servicio al Cliente para Soacha",17,"consumer",NULL,"Importante empresa requiere para su equipo de trabajo tecnicos con experiencia minimo de 1 año como Auxiliar de servicio al cliente, en empresas de servcios publicos, recepcion de pedidos de la linea granel, manejo de pqr,, gestionar con el area comercial, logitica y cartera la ejecución del mismo. Manejo de indicadores a nivel de servicio.Horario de Lunes a Viernes 7:30 a 5:00pm y sabados 7am a 1pmSalario: $ 908.526 mas prestaciones de leyLuar de trabajo: Soacha         Mostrar más           Mostrar menos. Oferta publicada por Messina Market & Catering en Bogotá","[""manejo"", ""servicio"", ""empresa"", ""experiencia"", ""indicadores"", ""equipo"", ""trabajo""]",NULL,NULL
"Ingeniero de Desarrollo",6,"tech",NULL,"Manejo de .Net y Angular (principalmente C#), Manejo Swagger ,  Manejo y conocimiento de Git , Conocimientos en Bases de datos, Manejo SQL server entre otros","["".Net y Angular""]","[""virtual""]","[]"
